
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0089"
"0.0500","0.0001","-0.0545"
"0.1000","0.0008","0.4603"
"0.1500","0.0012","0.1829"
"0.2000","0.0026","0.1257"
"0.2500","0.0052","0.3125"
"0.3000","0.0073","0.4725"
"0.3500","0.0092","0.3490"
"0.4000","0.0107","0.3082"
"0.4500","0.0125","0.1714"
"0.5000","0.0143","0.2193"
"0.5500","0.0158","0.4934"
"0.6000","0.0176","0.5002"
"0.6500","0.0192","0.4152"
"0.7000","0.0211","0.5664"
"0.7500","0.0223","0.3835"
"0.8000","0.0242","0.4747"
"0.8500","0.0259","0.6457"
"0.9000","0.0276","0.3928"
"0.9500","0.0293","0.6848"
"1.0000","0.0308","0.7107"
"1.0500","0.0327","0.9849"
"1.1000","0.0340","0.8822"
"1.1500","0.0360","0.7779"
"1.2000","0.0376","1.0137"
"1.2500","0.0393","0.7340"
"1.3000","0.0409","0.9275"
"1.3500","0.0426","0.8659"
"1.4000","0.0442","0.9613"
"1.4500","0.0457","0.9547"
"1.5000","0.0477","0.8203"
"1.5500","0.0492","0.8711"
"1.6000","0.0509","0.9719"
"1.6500","0.0526","1.0305"
"1.7000","0.0543","0.7934"
"1.7500","0.0559","0.8359"
"1.8000","0.0573","0.9495"
"1.8500","0.0593","0.9127"
"1.9000","0.0608","1.0568"
"1.9500","0.0626","1.0127"
"2.0000","0.0642","1.0137"
"2.0500","0.0660","0.9952"
"2.1000","0.0675","0.9506"
"2.1500","0.0690","0.9901"
"2.2000","0.0710","0.8613"
"2.2500","0.0725","1.0084"
"2.3000","0.0744","0.9782"
"2.3500","0.0759","1.1409"
"2.4000","0.0776","1.0020"
"2.4500","0.0791","1.1424"
"2.5000","0.0808","1.0231"
"2.5500","0.0827","0.9618"
"2.6000","0.0841","0.9394"
"2.6500","0.0860","0.9618"
"2.7000","0.0875","0.9193"
"2.7500","0.0894","1.0578"
"2.8000","0.0908","1.0971"
"2.8500","0.0925","1.1692"
"2.9000","0.0943","1.0392"
"2.9500","0.0958","0.9643"
"3.0000","0.0977","1.0365"
"3.0500","0.0993","1.1669"
"3.1000","0.1010","1.2500"
"3.1500","0.1024","1.2255"
"3.2000","0.1041","1.1302"
"3.2500","0.1060","1.3126"
"3.3000","0.1076","1.2107"
"3.3500","0.1094","1.2429"
"3.4000","0.1108","1.1835"
"3.4500","0.1126","1.2087"
"3.5000","0.1140","1.2005"
"3.5500","0.1159","1.2402"
"3.6000","0.1177","1.3645"
"3.6500","0.1192","1.2246"
"3.7000","0.1209","1.3757"
"3.7500","0.1225","1.2840"
"3.8000","0.1243","1.4247"
"3.8500","0.1257","1.2488"
"3.9000","0.1276","1.3733"
"3.9500","0.1292","1.4826"
"4.0000","0.1308","1.5322"
"4.0500","0.1326","1.4900"
"4.1000","0.1342","1.4865"
"4.1500","0.1360","1.4978"
"4.2000","0.1373","1.5275"
"4.2500","0.1393","1.4783"
"4.3000","0.1410","1.6242"
"4.3500","0.1426","1.6088"
"4.4000","0.1443","1.6174"
"4.4500","0.1459","1.7070"
"4.5000","0.1476","1.6175"
"4.5500","0.1490","1.5719"
"4.6000","0.1510","1.6710"
"4.6500","0.1526","1.6176"
"4.7000","0.1543","1.8990"
"4.7500","0.1559","1.7074"
"4.8000","0.1576","1.7145"
"4.8500","0.1593","1.9061"
"4.9000","0.1607","1.8328"
"4.9500","0.1627","1.9244"
"5.0000","0.1642","2.1046"
"5.0500","0.1659","1.9441"
"5.1000","0.1676","1.8813"
"5.1500","0.1693","2.0302"
"5.2000","0.1709","2.0168"
"5.2500","0.1724","2.0594"
"5.3000","0.1744","2.0410"
"5.3500","0.1758","2.0688"
"5.4000","0.1776","2.0470"
"5.4500","0.1792","2.1011"
"5.5000","0.1810","2.0710"
"5.5500","0.1825","2.1184"
"5.6000","0.1840","2.3414"
"5.6500","0.1860","2.3378"
"5.7000","0.1875","2.0726"
"5.7500","0.1893","2.3421"
"5.8000","0.1909","2.3185"
"5.8500","0.1927","2.1335"
"5.9000","0.1941","2.0687"
"5.9500","0.1958","2.5570"
"6.0000","0.1977","2.3858"
"6.0500","0.1991","2.4121"
"6.1000","0.2010","2.5533"
"6.1500","0.2025","2.5406"
"6.2000","0.2044","2.8533"
"6.2500","0.2057","2.7308"
"6.3000","0.2075","3.1012"
"6.3500","0.2094","3.2727"
"6.4000","0.2108","3.4900"
"6.4500","0.2127","3.6816"
"6.5000","0.2142","3.6287"
"6.5500","0.2161","3.6811"
"6.6000","0.2174","3.7081"
"6.6500","0.2192","3.9219"
"6.7000","0.2210","3.6961"
"6.7500","0.2225","3.9705"
"6.8000","0.2243","4.0808"
"6.8500","0.2258","3.9218"
"6.9000","0.2277","3.8556"
"6.9500","0.2290","3.8670"
"7.0000","0.2309","3.8127"
"7.0500","0.2327","4.0025"
"7.1000","0.2343","3.8821"
"7.1500","0.2359","4.0009"
"7.2000","0.2374","4.0992"
"7.2500","0.2393","3.7862"
"7.3000","0.2406","3.9646"
"7.3500","0.2427","4.1181"
"7.4000","0.2442","3.8516"
"7.4500","0.2459","3.9809"
"7.5000","0.2476","3.9601"
"7.5500","0.2492","4.1739"
"7.6000","0.2510","4.1692"
"7.6500","0.2523","3.9699"
"7.7000","0.2544","4.0369"
"7.7500","0.2559","3.8858"
"7.8000","0.2576","3.7529"
"7.8500","0.2592","3.8518"
"7.9000","0.2610","4.1429"
"7.9500","0.2626","4.1010"
"8.0000","0.2640","3.9429"
"8.0500","0.2660","3.9147"
"8.1000","0.2675","4.1963"
"8.1500","0.2694","4.0101"
"8.2000","0.2709","3.8989"
"8.2500","0.2726","3.8405"
"8.3000","0.2742","4.0239"
"8.3500","0.2757","3.8676"
"8.4000","0.2777","3.9592"
"8.4500","0.2792","4.0547"
"8.5000","0.2810","4.0298"
"8.5500","0.2825","4.0545"
"8.6000","0.2843","3.9900"
"8.6500","0.2858","4.0957"
"8.7000","0.2875","4.0234"
"8.7500","0.2894","4.0922"
"8.8000","0.2908","3.9308"
"8.8500","0.2927","4.1724"
"8.9000","0.2942","4.2808"
"8.9500","0.2960","4.2233"
"9.0000","0.2974","3.9859"
"9.0500","0.2991","3.8617"
"9.1000","0.3010","3.9358"
"9.1500","0.3025","3.9783"
"9.2000","0.3043","3.9781"
"9.2500","0.3059","4.1065"
"9.3000","0.3077","4.2010"
"9.3500","0.3090","4.1999"
"9.4000","0.3108","4.0496"
"9.4500","0.3126","4.0982"
"9.5000","0.3142","4.3019"
"9.5500","0.3160","4.1440"
"9.6000","0.3175","4.1961"
"9.6500","0.3193","4.1277"
"9.7000","0.3207","4.2890"
"9.7500","0.3226","4.2349"
"9.8000","0.3243","4.2548"
"9.8500","0.3258","4.2645"
"9.9000","0.3277","3.9205"
"9.9500","0.3292","4.0834"
"10.0000","0.3310","4.0466"
"10.0500","0.3324","4.1949"
"10.1000","0.3343","4.0785"
"10.1500","0.3359","4.3758"
"10.2000","0.3376","4.2480"
"10.2500","0.3393","4.2725"
"10.3000","0.3410","4.1310"
"10.3500","0.3426","4.2183"
"10.4000","0.3440","4.1990"
"10.4500","0.3459","4.2199"
"10.5000","0.3476","4.3994"
"10.5500","0.3493","4.2502"
"10.6000","0.3510","4.2775"
"10.6500","0.3526","4.0463"
"10.7000","0.3543","4.2504"
"10.7500","0.3557","4.1402"
"10.8000","0.3577","4.0791"
"10.8500","0.3592","4.2498"
"10.9000","0.3609","4.0505"
"10.9500","0.3625","4.4842"
"11.0000","0.3643","4.2528"
"11.0500","0.3659","4.1852"
"11.1000","0.3674","4.1159"
"11.1500","0.3694","4.0671"
"11.2000","0.3708","4.2163"
"11.2500","0.3726","4.1786"
"11.3000","0.3742","4.3213"
"11.3500","0.3760","4.2590"
"11.4000","0.3775","4.2037"
"11.4500","0.3790","4.2734"
"11.5000","0.3810","4.2587"
"11.5500","0.3825","4.1782"
"11.6000","0.3843","4.2709"
"11.6500","0.3859","4.2888"
