
Time,Displacement,Force
(s),(mm),(N)
"0.8000","0.0242","0.0483"
"0.8500","0.0262","-0.1637"
"0.9000","0.0277","0.0599"
"0.9500","0.0294","-0.0416"
"1.0000","0.0311","-0.0188"
"1.0500","0.0327","-0.0748"
"1.1000","0.0344","0.0559"
"1.1500","0.0359","0.1088"
"1.2000","0.0379","-0.2164"
"1.2500","0.0394","0.1634"
"1.3000","0.0411","0.0483"
"1.3500","0.0427","0.0743"
"1.4000","0.0445","-0.0777"
"1.4500","0.0461","-0.0522"
"1.5000","0.0475","0.0790"
"1.5500","0.0495","0.1270"
"1.6000","0.0510","0.0609"
"1.6500","0.0528","0.0008"
"1.7000","0.0544","0.0484"
"1.7500","0.0562","0.0217"
"1.8000","0.0576","0.1609"
"1.8500","0.0592","0.0220"
"1.9000","0.0612","0.1083"
"1.9500","0.0627","0.0240"
"2.0000","0.0645","0.0091"
"2.0500","0.0660","0.0549"
"2.1000","0.0679","-0.0149"
"2.1500","0.0693","0.0280"
"2.2000","0.0710","0.2119"
"2.2500","0.0729","0.2278"
"2.3000","0.0743","0.0877"
"2.3500","0.0762","0.2209"
"2.4000","0.0777","0.0156"
"2.4500","0.0795","-0.1241"
"2.5000","0.0809","-0.0351"
"2.5500","0.0827","0.0727"
"2.6000","0.0845","0.1075"
"2.6500","0.0859","0.0902"
"2.7000","0.0878","0.0300"
"2.7500","0.0894","-0.1379"
"2.8000","0.0912","0.0384"
"2.8500","0.0925","0.0990"
"2.9000","0.0944","0.1224"
"2.9500","0.0962","0.0103"
"3.0000","0.0977","0.2296"
"3.0500","0.0995","0.0859"
"3.1000","0.1010","-0.1115"
"3.1500","0.1029","-0.0026"
"3.2000","0.1042","-0.0186"
"3.2500","0.1061","0.1089"
"3.3000","0.1078","-0.0102"
"3.3500","0.1094","0.0842"
"3.4000","0.1112","-0.0168"
"3.4500","0.1127","-0.0840"
"3.5000","0.1145","0.0683"
"3.5500","0.1159","0.1003"
"3.6000","0.1179","-0.0645"
"3.6500","0.1194","0.0037"
"3.7000","0.1211","0.0951"
"3.7500","0.1228","-0.0666"
"3.8000","0.1245","-0.0248"
"3.8500","0.1262","-0.1331"
"3.9000","0.1275","-0.0092"
"3.9500","0.1295","-0.2631"
"4.0000","0.1311","0.1099"
"4.0500","0.1328","0.1279"
"4.1000","0.1344","0.0447"
"4.1500","0.1361","-0.0292"
"4.2000","0.1378","-0.0973"
"4.2500","0.1392","0.0388"
"4.3000","0.1412","0.0821"
"4.3500","0.1428","0.0034"
"4.4000","0.1446","0.0308"
"4.4500","0.1460","-0.0250"
"4.5000","0.1478","-0.1059"
"4.5500","0.1493","0.0771"
"4.6000","0.1509","0.1526"
"4.6500","0.1529","-0.0537"
"4.7000","0.1543","0.0123"
"4.7500","0.1562","-0.1150"
"4.8000","0.1577","0.0863"
"4.8500","0.1595","0.1478"
"4.9000","0.1610","0.0676"
"4.9500","0.1626","-0.0579"
"5.0000","0.1646","-0.0213"
"5.0500","0.1660","-0.0027"
"5.1000","0.1678","0.1215"
"5.1500","0.1693","-0.0730"
"5.2000","0.1713","0.1137"
"5.2500","0.1726","-0.0790"
"5.3000","0.1743","-0.0421"
"5.3500","0.1762","-0.1254"
"5.4000","0.1777","0.0804"
"5.4500","0.1796","-0.0603"
"5.5000","0.1810","-0.0071"
"5.5500","0.1829","-0.0547"
"5.6000","0.1842","0.0274"
"5.6500","0.1861","-0.1303"
"5.7000","0.1879","0.1089"
"5.7500","0.1894","0.0241"
"5.8000","0.1912","-0.0940"
"5.8500","0.1927","0.1059"
"5.9000","0.1945","0.1160"
"5.9500","0.1959","0.1835"
"6.0000","0.1978","0.0612"
"6.0500","0.1995","0.0000"
"6.1000","0.2010","0.0919"
"6.1500","0.2028","-0.0048"
"6.2000","0.2044","0.1147"
"6.2500","0.2062","0.2083"
"6.3000","0.2075","0.0687"
"6.3500","0.2094","-0.1156"
"6.4000","0.2110","-0.0239"
"6.4500","0.2127","0.0291"
"6.5000","0.2145","0.1827"
"6.5500","0.2161","0.0001"
"6.6000","0.2178","0.0996"
"6.6500","0.2192","0.0349"
"6.7000","0.2212","0.0820"
"6.7500","0.2227","-0.1282"
"6.8000","0.2245","-0.0558"
"6.8500","0.2262","0.1051"
"6.9000","0.2277","0.0880"
"6.9500","0.2294","0.0155"
"7.0000","0.2309","-0.0246"
"7.0500","0.2329","0.1081"
"7.1000","0.2344","-0.0957"
"7.1500","0.2361","0.0988"
"7.2000","0.2377","-0.0422"
"7.2500","0.2394","0.0216"
"7.3000","0.2411","0.0046"
"7.3500","0.2427","-0.0867"
"7.4000","0.2446","0.0724"
"7.4500","0.2460","-0.0422"
"7.5000","0.2478","-0.0458"
"7.5500","0.2494","0.0166"
"7.6000","0.2512","0.1156"
"7.6500","0.2527","-0.0424"
"7.7000","0.2542","0.2228"
"7.7500","0.2561","0.1232"
"7.8000","0.2577","0.2331"
"7.8500","0.2596","0.0339"
"7.9000","0.2611","0.0630"
"7.9500","0.2628","0.0091"
"8.0000","0.2643","0.2248"
"8.0500","0.2659","0.0257"
"8.1000","0.2679","-0.0023"
"8.1500","0.2694","-0.0417"
"8.2000","0.2711","0.0453"
"8.2500","0.2727","0.0670"
"8.3000","0.2745","0.2060"
"8.3500","0.2759","0.1266"
"8.4000","0.2777","-0.0799"
"8.4500","0.2795","-0.0201"
"8.5000","0.2810","-0.0850"
"8.5500","0.2828","0.0794"
"8.6000","0.2844","0.0613"
"8.6500","0.2862","0.0213"
"8.7000","0.2876","0.1328"
"8.7500","0.2893","0.1208"
"8.8000","0.2911","-0.1304"
"8.8500","0.2927","0.0199"
"8.9000","0.2945","0.0067"
"8.9500","0.2961","0.1582"
"9.0000","0.2979","0.0812"
"9.0500","0.2992","0.0646"
"9.1000","0.3010","0.0289"
"9.1500","0.3029","0.1020"
"9.2000","0.3044","-0.0368"
"9.2500","0.3062","-0.0364"
"9.3000","0.3077","0.0375"
"9.3500","0.3095","-0.0306"
"9.4000","0.3109","0.1546"
"9.4500","0.3128","-0.0523"
"9.5000","0.3145","0.1702"
"9.5500","0.3160","0.1126"
"9.6000","0.3178","0.0097"
"9.6500","0.3194","0.1999"
"9.7000","0.3212","-0.0341"
"9.7500","0.3226","0.0595"
"9.8000","0.3245","0.2629"
"9.8500","0.3260","-0.0147"
"9.9000","0.3277","-0.0168"
"9.9500","0.3295","0.0247"
"10.0000","0.3312","0.1952"
"10.0500","0.3328","0.1278"
"10.1000","0.3341","-0.0204"
"10.1500","0.3361","0.0002"
"10.2000","0.3377","0.0915"
"10.2500","0.3394","0.0829"
"10.3000","0.3411","0.0686"
"10.3500","0.3428","0.0441"
"10.4000","0.3444","0.1522"
"10.4500","0.3458","0.0193"
"10.5000","0.3479","0.1600"
"10.5500","0.3494","0.1276"
"10.6000","0.3511","0.0048"
"10.6500","0.3527","-0.0394"
"10.7000","0.3545","0.1196"
"10.7500","0.3561","0.1095"
"10.8000","0.3576","0.0241"
"10.8500","0.3596","0.0569"
"10.9000","0.3610","-0.0415"
"10.9500","0.3628","0.0614"
"11.0000","0.3644","-0.0713"
"11.0500","0.3663","0.0306"
"11.1000","0.3676","-0.0500"
"11.1500","0.3692","-0.0751"
"11.2000","0.3712","0.1197"
"11.2500","0.3727","-0.0124"
"11.3000","0.3745","-0.1985"
"11.3500","0.3760","-0.0065"
"11.4000","0.3779","0.1198"
"11.4500","0.3792","-0.0425"
"11.5000","0.3809","-0.0996"
"11.5500","0.3829","0.0948"
"11.6000","0.3844","0.0446"
"11.6500","0.3862","0.1654"
"11.7000","0.3876","0.0886"
"11.7500","0.3895","0.0495"
"11.8000","0.3909","-0.0635"
"11.8500","0.3927","0.0241"
"11.9000","0.3945","0.1588"
"11.9500","0.3960","0.1373"
"12.0000","0.3978","0.0181"
"12.0500","0.3993","-0.0011"
"12.1000","0.4012","0.0514"
"12.1500","0.4025","0.0446"
"12.2000","0.4044","0.1427"
"12.2500","0.4062","-0.0814"
"12.3000","0.4077","0.1208"
"12.3500","0.4095","-0.0302"
"12.4000","0.4111","0.0061"
"12.4500","0.4129","0.0615"
"12.5000","0.4142","-0.0355"
"12.5500","0.4161","-0.0516"
"12.6000","0.4178","-0.1395"
"12.6500","0.4195","-0.0816"
"12.7000","0.4211","-0.0154"
"12.7500","0.4227","0.0217"
"12.8000","0.4245","0.2994"
"12.8500","0.4259","0.0157"
"12.9000","0.4279","-0.0400"
"12.9500","0.4294","0.1221"
"13.0000","0.4312","0.1432"
"13.0500","0.4328","-0.0456"
"13.1000","0.4344","0.0063"
"13.1500","0.4361","0.0786"
"13.2000","0.4376","0.0146"
"13.2500","0.4396","0.2113"
"13.3000","0.4410","0.1639"
"13.3500","0.4428","0.0385"
"13.4000","0.4444","-0.0088"
"13.4500","0.4462","0.0047"
"13.5000","0.4477","0.1269"
"13.5500","0.4492","0.0667"
"13.6000","0.4512","0.0104"
"13.6500","0.4526","0.1448"
"13.7000","0.4545","-0.0072"
"13.7500","0.4561","0.1162"
"13.8000","0.4578","-0.0081"
"13.8500","0.4593","0.2330"
"13.9000","0.4609","0.0184"
"13.9500","0.4629","0.1728"
"14.0000","0.4644","0.2472"
"14.0500","0.4662","-0.0088"
"14.1000","0.4677","0.1661"
"14.1500","0.4695","0.2261"
"14.2000","0.4709","0.1932"
"14.2500","0.4727","-0.0166"
"14.3000","0.4746","0.1336"
"14.3500","0.4760","-0.0378"
"14.4000","0.4778","0.0845"
"14.4500","0.4794","-0.0113"
"14.5000","0.4812","-0.0307"
"14.5500","0.4826","-0.0881"
"14.6000","0.4844","0.2051"
"14.6500","0.4862","0.1811"
"14.7000","0.4877","0.0504"
"14.7500","0.4895","0.0360"
"14.8000","0.4911","0.0302"
"14.8500","0.4929","-0.0985"
"14.9000","0.4942","-0.0030"
"14.9500","0.4960","0.0392"
"15.0000","0.4978","-0.0255"
"15.0500","0.4995","0.0973"
"15.1000","0.5012","0.2368"
"15.1500","0.5027","0.1566"
"15.2000","0.5045","0.0930"
"15.2500","0.5058","0.0885"
"15.3000","0.5077","0.0055"
"15.3500","0.5095","-0.0687"
"15.4000","0.5110","0.1177"
"15.4500","0.5128","0.1508"
"15.5000","0.5144","0.1802"
"15.5500","0.5162","0.0582"
"15.6000","0.5176","0.1040"
"15.6500","0.5195","0.1839"
"15.7000","0.5211","0.0152"
"15.7500","0.5227","0.0230"
"15.8000","0.5244","0.2505"
"15.8500","0.5261","0.0131"
"15.9000","0.5278","0.0210"
"15.9500","0.5292","0.1669"
"16.0000","0.5311","0.2688"
"16.0500","0.5328","0.2168"
"16.1000","0.5344","0.1661"
"16.1500","0.5361","0.2290"
"16.2000","0.5377","0.0544"
"16.2500","0.5394","0.0095"
"16.3000","0.5409","0.0576"
"16.3500","0.5429","0.1017"
"16.4000","0.5444","0.0690"
"16.4500","0.5461","0.0727"
"16.5000","0.5478","-0.0846"
"16.5500","0.5495","0.0372"
"16.6000","0.5511","0.0851"
"16.6500","0.5526","0.0470"
"16.7000","0.5545","0.1248"
"16.7500","0.5560","0.0926"
"16.8000","0.5578","-0.0247"
"16.8500","0.5595","0.0548"
"16.9000","0.5612","-0.0925"
"16.9500","0.5627","0.0081"
"17.0000","0.5642","0.1807"
"17.0500","0.5662","0.1623"
"17.1000","0.5677","-0.1021"
"17.1500","0.5695","-0.0958"
"17.2000","0.5710","0.0274"
"17.2500","0.5729","0.0737"
"17.3000","0.5743","0.0068"
"17.3500","0.5759","0.0426"
"17.4000","0.5779","-0.0218"
"17.4500","0.5793","0.0722"
"17.5000","0.5811","0.0759"
"17.5500","0.5827","0.1049"
"17.6000","0.5845","0.1211"
"17.6500","0.5859","0.1959"
"17.7000","0.5877","0.2001"
"17.7500","0.5895","0.0936"
"17.8000","0.5910","0.1772"
"17.8500","0.5929","0.0332"
"17.9000","0.5944","0.0693"
"17.9500","0.5962","0.0159"
"18.0000","0.5976","0.0557"
"18.0500","0.5994","0.0485"
"18.1000","0.6012","0.0369"
"18.1500","0.6026","0.1048"
"18.2000","0.6045","0.1313"
"18.2500","0.6061","-0.0229"
"18.3000","0.6079","0.1147"
"18.3500","0.6092","0.2191"
"18.4000","0.6111","0.0650"
"18.4500","0.6128","0.0892"
"18.5000","0.6144","0.0429"
"18.5500","0.6161","0.0965"
"18.6000","0.6177","-0.0280"
"18.6500","0.6196","0.0943"
"18.7000","0.6208","0.1434"
"18.7500","0.6228","0.2609"
"18.8000","0.6245","0.0757"
"18.8500","0.6261","0.1752"
"18.9000","0.6278","0.0329"
"18.9500","0.6293","0.1617"
"19.0000","0.6311","0.1519"
"19.0500","0.6325","0.0287"
"19.1000","0.6345","0.0467"
"19.1500","0.6360","0.1124"
"19.2000","0.6378","0.0711"
"19.2500","0.6394","0.1240"
"19.3000","0.6411","-0.0053"
"19.3500","0.6428","-0.0435"
"19.4000","0.6442","0.2216"
"19.4500","0.6462","0.0865"
"19.5000","0.6478","0.1250"
"19.5500","0.6495","0.0548"
"19.6000","0.6510","0.1327"
"19.6500","0.6528","0.1307"
"19.7000","0.6544","0.0014"
"19.7500","0.6559","-0.2445"
"19.8000","0.6579","0.0170"
"19.8500","0.6594","0.1345"
"19.9000","0.6612","0.1562"
"19.9500","0.6627","-0.0038"
"20.0000","0.6645","0.1386"
"20.0500","0.6660","0.1153"
"20.1000","0.6676","-0.0109"
"20.1500","0.6696","-0.0869"
"20.2000","0.6710","-0.0424"
"20.2500","0.6729","-0.0946"
"20.3000","0.6744","0.0732"
"20.3500","0.6762","0.0319"
"20.4000","0.6776","0.1465"
"20.4500","0.6793","0.0501"
"20.5000","0.6812","0.0720"
"20.5500","0.6827","0.0571"
"20.6000","0.6845","0.1392"
"20.6500","0.6860","0.0005"
"20.7000","0.6879","-0.0210"
"20.7500","0.6892","0.1181"
"20.8000","0.6910","0.0743"
"20.8500","0.6928","0.0847"
"20.9000","0.6943","0.0145"
"20.9500","0.6962","0.1304"
"21.0000","0.6977","0.3509"
"21.0500","0.6995","0.0257"
"21.1000","0.7008","0.0973"
"21.1500","0.7027","0.1324"
"21.2000","0.7045","-0.0470"
"21.2500","0.7061","0.1330"
"21.3000","0.7079","0.0745"
"21.3500","0.7094","0.1544"
"21.4000","0.7111","0.0693"
"21.4500","0.7125","-0.0611"
"21.5000","0.7145","0.1377"
"21.5500","0.7161","0.2406"
"21.6000","0.7177","0.0285"
"21.6500","0.7195","0.1227"
"21.7000","0.7211","0.1099"
"21.7500","0.7228","0.2462"
"21.8000","0.7242","0.1895"
"21.8500","0.7262","0.2110"
"21.9000","0.7277","0.1070"
"21.9500","0.7294","0.1618"
"22.0000","0.7312","0.2133"
"22.0500","0.7328","0.1821"
"22.1000","0.7344","-0.0057"
"22.1500","0.7358","0.0647"
"22.2000","0.7378","0.2202"
"22.2500","0.7394","0.1388"
"22.3000","0.7412","0.2060"
"22.3500","0.7428","0.0584"
"22.4000","0.7444","0.3118"
"22.4500","0.7460","0.1004"
"22.5000","0.7475","-0.0003"
"22.5500","0.7495","-0.0204"
"22.6000","0.7510","0.1776"
"22.6500","0.7527","0.0393"
"22.7000","0.7544","0.2772"
"22.7500","0.7561","0.1085"
"22.8000","0.7577","0.0617"
"22.8500","0.7593","0.1336"
"22.9000","0.7612","0.2677"
"22.9500","0.7626","0.2209"
"23.0000","0.7644","0.2303"
"23.0500","0.7660","0.2545"
"23.1000","0.7679","0.0121"
"23.1500","0.7694","0.3366"
"23.2000","0.7709","0.2137"
"23.2500","0.7729","0.2162"
"23.3000","0.7744","0.2326"
