
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0031"
"0.0500","0.0001","-0.0147"
"0.1000","0.0007","0.0056"
"0.1500","0.0010","0.0282"
"0.2000","0.0024","-0.0055"
"0.2500","0.0052","0.0195"
"0.3000","0.0073","0.0392"
"0.3500","0.0089","0.0485"
"0.4000","0.0109","0.0314"
"0.4500","0.0124","0.0280"
"0.5000","0.0142","0.0501"
"0.5500","0.0156","0.0285"
"0.6000","0.0175","0.0265"
"0.6500","0.0189","0.0358"
"0.7000","0.0207","0.0209"
"0.7500","0.0226","0.0266"
"0.8000","0.0240","0.0403"
"0.8500","0.0259","0.0174"
"0.9000","0.0273","0.0394"
"0.9500","0.0293","0.0256"
"1.0000","0.0306","0.0249"
"1.0500","0.0324","0.0601"
"1.1000","0.0342","0.0472"
"1.1500","0.0358","0.0272"
"1.2000","0.0375","0.0341"
"1.2500","0.0391","0.0295"
"1.3000","0.0409","0.0126"
"1.3500","0.0422","0.0132"
"1.4000","0.0442","0.0561"
"1.4500","0.0458","0.0300"
"1.5000","0.0475","0.0321"
"1.5500","0.0492","0.0357"
"1.6000","0.0507","0.0438"
"1.6500","0.0525","0.0263"
"1.7000","0.0539","0.0647"
"1.7500","0.0559","0.0309"
"1.8000","0.0575","0.0344"
"1.8500","0.0592","0.0326"
"1.9000","0.0608","0.0400"
"1.9500","0.0624","0.0608"
"2.0000","0.0641","0.0357"
"2.0500","0.0656","0.0539"
"2.1000","0.0676","0.0777"
"2.1500","0.0691","0.0817"
"2.2000","0.0708","0.0601"
"2.2500","0.0725","0.0609"
"2.3000","0.0742","0.0615"
"2.3500","0.0757","0.1186"
"2.4000","0.0772","0.1102"
"2.4500","0.0792","0.1320"
"2.5000","0.0807","0.1022"
"2.5500","0.0825","0.1101"
"2.6000","0.0841","0.1158"
"2.6500","0.0859","0.1267"
"2.7000","0.0874","0.1268"
"2.7500","0.0889","0.1213"
"2.8000","0.0909","0.1256"
"2.8500","0.0924","0.1275"
"2.9000","0.0942","0.1327"
"2.9500","0.0958","0.1246"
"3.0000","0.0975","0.1277"
"3.0500","0.0990","0.1191"
"3.1000","0.1007","0.1279"
"3.1500","0.1026","0.1288"
"3.2000","0.1041","0.1475"
"3.2500","0.1059","0.1349"
"3.3000","0.1074","0.1314"
"3.3500","0.1092","0.1086"
"3.4000","0.1106","0.1294"
"3.4500","0.1123","0.1306"
"3.5000","0.1143","0.1144"
"3.5500","0.1157","0.1309"
"3.6000","0.1176","0.1231"
"3.6500","0.1192","0.1335"
"3.7000","0.1209","0.1369"
"3.7500","0.1222","0.1511"
"3.8000","0.1240","0.1492"
"3.8500","0.1259","0.1236"
"3.9000","0.1275","0.1356"
"3.9500","0.1292","0.1334"
"4.0000","0.1307","0.1407"
"4.0500","0.1325","0.1431"
"4.1000","0.1339","0.1517"
"4.1500","0.1357","0.1361"
"4.2000","0.1375","0.1329"
"4.2500","0.1390","0.1470"
"4.3000","0.1408","0.1395"
"4.3500","0.1424","0.1386"
"4.4000","0.1442","0.1521"
"4.4500","0.1456","0.1504"
"4.5000","0.1475","0.1619"
"4.5500","0.1492","0.1392"
"4.6000","0.1508","0.1387"
"4.6500","0.1525","0.1335"
"4.7000","0.1541","0.1528"
"4.7500","0.1559","0.1351"
"4.8000","0.1572","0.1485"
"4.8500","0.1592","0.1277"
"4.9000","0.1608","0.1399"
"4.9500","0.1625","0.1535"
"5.0000","0.1642","0.1485"
"5.0500","0.1658","0.1300"
"5.1000","0.1675","0.1358"
"5.1500","0.1689","0.1432"
"5.2000","0.1709","0.1292"
"5.2500","0.1725","0.1480"
"5.3000","0.1742","0.1498"
"5.3500","0.1758","0.1218"
"5.4000","0.1775","0.1203"
"5.4500","0.1791","0.1334"
"5.5000","0.1806","0.1504"
"5.5500","0.1826","0.1477"
"5.6000","0.1840","0.1367"
"5.6500","0.1858","0.1438"
"5.7000","0.1875","0.1462"
"5.7500","0.1892","0.1381"
"5.8000","0.1907","0.1332"
"5.8500","0.1922","0.1427"
"5.9000","0.1943","0.1427"
"5.9500","0.1957","0.1227"
"6.0000","0.1975","0.1138"
"6.0500","0.1991","0.1310"
"6.1000","0.2009","0.1528"
"6.1500","0.2024","0.1460"
"6.2000","0.2039","0.1287"
"6.2500","0.2059","0.1207"
"6.3000","0.2073","0.1311"
